group,n,uncal_ece,uncal_mce,uncal_brier,uncal_acc,global_ece,global_mce,global_brier,global_acc,pergrp_ece,pergrp_mce,pergrp_brier,pergrp_acc
light,540,0.03005,0.441,0.15827,0.8963,0.03279,0.27009,0.15723,0.8963,0.03903,0.31379,0.15722,0.8963
intermediate,97,0.06997,0.5084,0.15942,0.90722,0.07575,0.48137,0.15789,0.90722,0.08698,0.58616,0.15752,0.90722
dark,345,0.06003,0.3206,0.30493,0.7913,0.03742,0.20959,0.304,0.7913,0.06374,0.24536,0.30435,0.7913
overall,982,0.04452,0.5084,0.20991,0.86049,0.02897,0.19054,0.20886,0.86049,0.0235,0.17924,0.20894,0.86049
