group,n_min,ece_mean,ece_std,mce_mean,mce_std,brier_mean,brier_std,accuracy_mean,accuracy_std
light,97,0.06709525634271583,0.018117787109942097,0.5578060740209762,0.11384683960682905,0.15902943209931256,0.04016231432701964,0.8959793814432991,0.030402054158837767
intermediate,97,0.08134065347418343,0.021880044759148013,0.5895795508501076,0.09327088624187942,0.15617925530672072,0.04152647010417867,0.9095051546391755,0.02785034710336051
dark,97,0.10721398086062411,0.026376631422192515,0.4854850779043569,0.12579324971640965,0.30573254050314425,0.04759861337982572,0.7900412371134021,0.040418965661475355
