source,group_a,group_b,n_a,n_b,brier_a,brier_b,diff,ci_lower,ci_upper,significant,note
rosendahl,dark,light,76,226,0.3274,0.0506,0.2783,0.1528,0.4087,True,
rosendahl,dark,intermediate,76,43,0.3274,0.0576,0.273,0.1169,0.4392,True,
rosendahl,light,intermediate,226,43,0.0506,0.0576,-0.0069,-0.0875,0.0967,False,
vienna,dark,light,117,163,0.3127,0.1398,0.1739,0.0809,0.2785,True,
vienna,dark,intermediate,117,34,0.3127,0.1964,0.1114,-0.1145,0.3325,False,
vienna,light,intermediate,163,34,0.1398,0.1964,-0.0565,-0.2828,0.1518,False,
